room_size,budget,noise_level,sunlight,room_type,window_type,glass_type,material_type
large,high,medium,medium,living,sliding,double,aluminium_premium
small,high,low,medium,living,sliding,toughened,aluminium_standard
large,high,low,high,bedroom,sliding,toughened,aluminium_standard
large,high,high,high,living,sliding,double,aluminium_standard
small,low,low,high,living,sliding,double,aluminium_basic
small,high,high,medium,kitchen,sliding,toughened,aluminium_premium
large,medium,high,medium,kitchen,sliding,double,aluminium_standard
medium,medium,medium,medium,bedroom,casement,double,aluminium_standard
large,high,medium,high,living,casement,toughened,aluminium_standard
large,high,medium,medium,bedroom,sliding,double,aluminium_premium
large,medium,high,low,living,sliding,double,aluminium_standard
large,medium,medium,low,office,sliding,double,aluminium_basic
small,low,low,medium,office,casement,single,aluminium_basic
large,medium,low,low,bedroom,sliding,double,aluminium_basic
medium,medium,high,low,bedroom,casement,double,aluminium_basic
small,high,high,high,bedroom,sliding,double,aluminium_premium
medium,medium,medium,medium,kitchen,sliding,double,aluminium_standard
medium,low,high,medium,kitchen,sliding,double,aluminium_basic
medium,medium,high,high,kitchen,casement,double,aluminium_basic
medium,high,low,low,bedroom,casement,double,aluminium_standard
small,high,low,low,living,sliding,toughened,aluminium_standard
small,medium,medium,medium,office,casement,double,aluminium_basic
medium,high,high,low,bedroom,casement,toughened,aluminium_premium
medium,low,high,high,kitchen,sliding,double,aluminium_basic
small,low,low,high,kitchen,casement,double,aluminium_basic
small,medium,high,medium,bedroom,casement,toughened,aluminium_basic
small,medium,low,high,bedroom,casement,toughened,aluminium_basic
large,medium,medium,high,kitchen,casement,toughened,aluminium_standard
large,high,low,medium,living,sliding,double,aluminium_premium
large,low,high,high,kitchen,sliding,double,aluminium_basic
medium,low,medium,high,kitchen,casement,toughened,aluminium_basic
large,high,low,high,bedroom,sliding,double,aluminium_premium
medium,low,low,low,living,sliding,single,aluminium_basic
medium,medium,medium,medium,kitchen,casement,single,aluminium_basic
large,medium,medium,medium,kitchen,sliding,single,aluminium_standard
medium,medium,low,medium,office,casement,double,aluminium_standard
large,low,high,low,bedroom,casement,double,aluminium_basic
large,medium,low,low,office,casement,double,aluminium_basic
small,high,medium,medium,office,sliding,double,aluminium_premium
large,high,low,low,kitchen,sliding,double,aluminium_premium
small,low,medium,medium,bedroom,sliding,single,aluminium_basic
large,high,medium,low,living,sliding,double,aluminium_premium
large,high,high,high,kitchen,sliding,double,aluminium_premium
small,low,medium,high,living,casement,toughened,aluminium_basic
small,medium,medium,medium,living,sliding,double,aluminium_basic
large,medium,high,low,bedroom,sliding,double,aluminium_basic
medium,medium,medium,low,office,sliding,single,aluminium_basic
small,low,high,high,bedroom,sliding,toughened,aluminium_basic
medium,high,high,high,living,casement,toughened,aluminium_premium
medium,medium,medium,low,kitchen,casement,single,aluminium_basic
medium,medium,medium,low,living,casement,double,aluminium_standard
small,low,low,low,kitchen,sliding,single,aluminium_basic
medium,medium,high,low,kitchen,sliding,toughened,aluminium_standard
small,low,low,low,bedroom,sliding,single,aluminium_basic
